559,621
523,534
238,943
583,569
422,361
546,34
436,703
314,58
482,422
389,205
720,977
591,593
428,431
443,971
417,975
502,727
421,87
572,672
555,304
551,664
412,212
329,398
447,686
498,34
483,265
421,087
426,7
567,218
416,795
636,534
499,073
590,762
457,335
657,135
591,503
581,678
572,931
537,063
618,691
446,516
545,511
554,832
562,919
521,48
445,522
492,475
696,263
455,052
515,327
366,781
644,856
551,654
452,39
492,003
514,528
637,915
600,367
621,315
433,656
513,805
625,9
404,325
524,771
623,767
618,259
586,199
358,196
457,258
527,546
525,95
513,361
420,176
639,056
379,98
518,747
515,903
377,497
208,76
453,956
672,441
660,801
571,604
480,655
445,082
632,165
575,743
509,665
648,682
398,518
449,405
306,89
456,002
600,888
526,425
264,701
533,148
391,71
422,572
476,5
422,309
